url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
https://alonhadat.com.vn/nha-dan-xay-sale-sap-san-o-to-ngo-nong-vi-tri-mien-ban-52m-4-tang-5-9-ty--13117274.html,"NHÀ DÂN XÂY, SALE SẬP SÀN, Ô TÔ, NGÕ NÔNG, VỊ TRÍ MIỄN BÀN, 52M, 4 TẦNG, 5.9 TỶ.","NHÀ DÂN XÂY, Ô TÔ ĐỖ CỬA, NGÕ NÔNG THOÁNG, GIÁ SALE SẬP SÀN. 52M, 4 TẦNG, CHỈ 5.9 TỶ. 

DÂN XÂY ĐẲNG CẤP, Ô TÔ ĐỖ CỬA, NGÕ NÔNG ĐƯỜNG THOÁNG, GIÁ SẬP SÀN, VIEW SÂN VẬN ĐỘNG MỸ ĐÌNH.
Hồng Đô ( phố Hồng Đô là đường đua F1 cũ) 52m - 4 tầng - mt 3.6m - 5.9 tỷ,
Nhà dân xây cốt tốt ,thiết kế đẳng cấp phòng nào cũng chan hòa ánh sáng sinh khí ngập tràn. 
Thiết kế cầu thang giữa hiện có 3 phòng ngủ, 2 phòng khách,1 phòng thờ, 1 sân phơi. Nếu gia đình nào cần thêm ngủ thì chuyển đổi thêm 1 phòng nữa dễ như ăn kẹo. 
Sổ đỏ sẵn sàng giao dịch;

LIÊN HỆ để xem nhà trực tiếp.

Cùng khu vực tôi còn bán thêm 1 số căn nữa cùng mức tài chính mời anh chị tham khảo thêm.

1.Lê Quang Đạo 50M - 3 tầng - mt 3.8m - 6.5 tỷ. MẶT NGÕ 8 LÊ QUANG ĐẠO -KINH DOANH ĐỈNH - Ô TÔ - KHÔNG CÓ NHÀ BÁN - CỰC HIẾM - BAY NHANH.

2.Lê Quang Đạo 39m - 5 tầng - mt 4m - 4.7 Tỷ. NHÀ ĐẸP Ở LUÔN - DÂN TỰ XÂY - NGÕ XE BA GÁC - THOÁNG TRƯỚC SAU - GẦN ĐƯỜNG Ô TÔ - 15M RA Ô TÔ - 30M RA Ô TÔ TRÁNH - BA BƯỚC RA MẶT PHỐ - BÃI GỬI Ô TÔ ĐẦU NGÕ.

3.Lê Quang Đạo 36/ 40 T2 - 6 tầng - mt 3.1m - 5tỷ. CHUNG CƯ MINI - VỊ TRÍ ĐẸP THỬA ĐẤT VUÔNG.

4.Quang Đạo 67m - C4 - mt 4.3m - 7.9 tỷ. KINH DOANH SẦM UẤT, Ô TÔ TẢI QUA NHÀ, ĐẤT NỞ HẬU PHONG THỦY, xây tòa CHUNG CƯ MINI HOẶC TOÀ NHÀ TƯƠNG LAI thì hết ý.

5.Lê Quang Đạo 40m - 5 tầng -mt 3.7m - 9.9 tỷ. VỈA HÈ ĐÁ BÓNG - Ô TÔ DỪNG ĐỖ - KINH DOANH CỰC ĐỈNH - GIÁ TRỊ TƯƠNG LAI.

6.Mỹ Đình 48 2.5 6 5.4 tỷ. MẶT NGÕ KINH DOANH LÔ GÓC MÓNG 6 TẦNG CHO THUÊ MỌI NGÀNH DÒNG TIỀN ỔN ĐỊNH.

7.Mỹ Đình 79/82 Đất - mt 8m - 6.5 tỷ. DIỆN TÍCH RỘNG, NGÕ NÔNG PHÙ HỢP XÂY CHUNG CƯ MINI.

8.Phú Đô 53m - 6 tầng - mt 7m - 8.5 tỷ. LÔ GÓC - NHÀ MỚI XÂY - 10 NGỦ KHÉP KÍN RỘNG.","5,9 tỷ",52 m2,"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",13117274,_,True,Cần bán,5m,True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,4m,4,True,13m,4,---
https://alonhadat.com.vn/ban-gap-toa-nha-115m-5-tang-mat-tien-6-6m-ngo-o-to-so-do-dep-chi-11-5-ty--13147994.html,"Bán gấp tòa nhà 115m, 5 tầng, mặt tiền 6,6m, ngõ ô tô, sổ đỏ đẹp, chỉ 11.5 tỷ.","NHÀ DÂN XÂY CHẮC CHẮN, Ô TÔ, VÀI BƯỚC RA ĐƯỜNG Ô TÔ TRÁNH, SỔ ĐỎ ĐẸP CẤT KÉT, CHỦ THIỆN CHÍ, GIÁ SIÊU MỀM 115M, 5 TẦNG, MT 6.6M, 11.5 TỶ. 
SỔ ĐỎ NỞ HẬU - NHIỀU PHÒNG KINH DOANH CHO THUÊ
Mễ Trì Thượng 113m - 5 tầng - mt 6.6m - 11.5 tỷ
Ô TÔ 4 CHỖ VÀO NHÀ - GẦN PHỐ - Ô CHỜ THANG MÁY - SỔ ĐỎ NỞ HẬU - KINH DOANH CHO THUÊ
Mô tả: 
Vị trí nhà đi lại thuận tiện gần đường vành đai 3, gần khu đô thị Mễ Trì, gần Trung Tâm hội nghị Quốc Gia, Bộ ngoại giao, gần bến xe Mỹ Đình. Hàng xóm kengnam 72 tầng.
Thửa đất đẹp, diện tích rộng 113 m vuông đã xây 2 toà Nhà.
Một toà 4 tầng chủ nhà để ở và một toà nhà bên cạnh xây 5 tầng có 7 phòng khép kín đang cho thuê, sổ đỏ nở hậu.
Toà nhà chủ đang ở thiết kế có giếng trời thoáng mát tất cả các phòng, có ban công đằng trước và ô chờ Thang Máy.
- Thiết kế xây 4 tầng:
+ Tầng 1: Phòng khách, bếp, phòng ăn và WC. Gara để xe.
+ Tầng 2 + 3: thiết kế 4 phòng ngủ khép kín.
+ Tầng 4: Phòng thờ, sân phơi.
+ Sổ nở hậu.Nhà tự xây năm 2011cực kỳ chắc chắn, chưa sơn sửa lần nào, có sẵn ô chờ thang máy để cải tạo chung cư mini.
Nhà số 1 Thiết kế 5 tầng, chủ đang cho thuê 22tr/tháng/ hợp đồng dài hạn.
+ Tầng 1 : phòng ngủ khép kín + để xe.
+ Tầng 2,3,4 mỗi tầng 2 phòng khép kín.
+ Ô tô 4 chỗ vào tận trong nhà. Diện tích rộng, giá rẻ.
+ Sổ đỏ nở hậu cất két, sẵn sàng giao dịch.
Anh chị em quan tâm liên hệ SỐ ĐT để xem nhà trực tiếp.","11,5 tỷ",115 m2,"Đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",13147994,_,True,Cần bán,4m,True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,"6,6m",5,True,17m,14,---
https://alonhadat.com.vn/toi-can-ban-manh-dat-mat-pho-lon-tai-my-dinh-136m-mt-6-6m-so-do-dep-31-5-ty-13227958.html,"TÔI CẦN BÁN MẢNH ĐẤT MẶT PHỐ LỚN TẠI MỸ ĐÌNH, 136M, MT 6.6M, SỔ ĐỎ ĐẸP, 31.5 TỶ","CẦN BÁN NHÀ MẶT PHỐ VIP VỈA HÈ LÔ GÓC - XÂY TÒA VĂN PHÒNG KINH DOANH CÁC KIỂU - CỰC HIẾM. 
Mỹ Đình 135m - 5 tầng - mặt tiền 6.6m - 31.5 tỷ.
Mô tả:
Nhà mặt phố Đường Mỹ Đình ngay ngã tư Trần Bình - Nguyễn Hoàng, bến xe Mỹ Đình 50m, khu vực hiếm nhà bán, kinh doanh sầm uất ngày đêm, hiện chủ đang cho thuê 60 triệu/ tháng. 
Nhà phù hợp để xây toà nhà văn phòng, nhà hàng, khách sạn…
Vị trí căn nhà cực hiếm, mặt tiền rộng, thông số cực lộc lộc lộc, 135 phát phát chuẩn Lộc phát chờ gia chủ mới.
Sổ sẵn giao dịch. 
LH  để xem nhà trực tiếp.
NHÀ MẶT PHỐ THÔNG TIN CHÍNH XÁC 100%, ẢNH MANG TÍNH CHẤT MINH HỌA - MIỄN TRUNG GIAN MÔI GIỚI LÀM PHIỀN.
nd1","31,5 tỷ",135 m2,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",13227958,_,True,Cần bán,15m,True,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,True,"6,6m",5,True,21m,18,---
https://alonhadat.com.vn/toi-can-ban-manh-dat-mat-pho-lon-tai-my-dinh-136m-mt-6-6m-so-do-dep-31-5-ty-13243557.html,"TÔI CẦN BÁN MẢNH ĐẤT MẶT PHỐ LỚN TẠI MỸ ĐÌNH, 136M, MT 6.6M, SỔ ĐỎ ĐẸP, 31.5 TỶ","CẦN BÁN NHÀ MẶT PHỐ VIP VỈA HÈ LÔ GÓC - XÂY TÒA VĂN PHÒNG KINH DOANH CÁC KIỂU - CỰC HIẾM. 
Mỹ Đình 135m - 5 tầng - mặt tiền 6.6m - 31.5 tỷ.
Mô tả:
Nhà mặt phố Đường Nguyễn Hoàng ngay ngã tư Trần Bình - Nguyễn Hoàng, bến xe Mỹ Đình 50m, khu vực hiếm nhà bán, kinh doanh sầm uất ngày đêm, hiện chủ đang cho thuê 60 triệu/ tháng. 
Nhà phù hợp để xây toà nhà văn phòng, nhà hàng, khách sạn…
Vị trí căn nhà cực hiếm, mặt tiền rộng, thông số cực lộc lộc lộc, 135 phát phát chuẩn Lộc phát chờ gia chủ mới.
Sổ sẵn giao dịch. 
LH  để xem nhà trực tiếp.
NHÀ MẶT PHỐ THÔNG TIN CHÍNH XÁC 100%, ẢNH MANG TÍNH CHẤT MINH HỌA - MIỄN TRUNG GIAN MÔI GIỚI LÀM PHIỀN.
nd1","31,5 tỷ",135 m2,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",13243557,_,True,Cần bán,15m,True,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,True,"6,6m",5,True,21m,18,---
https://alonhadat.com.vn/toi-can-ban-can-chung-cu-eurowindow-multicomplex-27-tran-duy-hung-100m-5-6-ty-13228233.html,TÔI CẦN BÁN CĂN CHUNG  CƯ Eurowindow Multicomplex 27 Trần Duy Hưng 100M - 5.6 tỷ,"CHUNG CƯ VIP NHẤT CẦU GIẤY - ĐẲNG CẤP LÀ MÃI MÃI - 1 BƯỚC XUỐNG PHỐ - TIỆN ÍCH KHÔNG KỂ SIẾT - Ở CỰC SƯỚNG! GIÁ RẺ NHẤT CHUNG CƯ HƯỚNG CỬA TRẦN DUY HƯNG THUÊ 20 tr/ CĂN.
Toà nhà Eurowindow Multicomplex 27 Trần Duy Hưng 100M - 5.6 tỷ 
Mô tả:
Căn hộ mình bán nằm trong toà nhà có vị trí gần cầu Vượt Trần Duy Hưng – Láng Hạ, một trong những vị trí chiến lược trong quá trình phát triển của phía Tây Hà Nội.
Lừng lững giữa trời đất Thủ Đô với thiết kế vượt trội:
- Tối ưu hóa ánh sáng tự nhiên với hệ thống cửa và vách kính thông minh chống 98% tia cực tím
- Hệ thống 9 thang máy hiện đại tốc độ cao với 2 sảnh chờ phía hai đầu khối nhà
- Hệ thống 4 cầu thang bộ thoát hiểm Iới hệ thống điều áp và cửa chống cháy đảm bảo an toàn trong các trường hợp khẩn cấp, Hệ thống phòng cháy chữa cháy, thông gió, điện, kỹ thuật,…hiện đại đạt tiêu chuẩn quốc tế.
- Trước đây có gia đình người Nhật thuê 20 triệu/tháng, bây giờ chủ nhà lấy lại để bán.
- Toàn bộ nội thất bên trong nhà được thiết kế và nhập khẩu từ Hàn Quốc, điều hòa âm trần 195 triệu, bộ ghế sofa 75 triệu, tủ âm tường và các đồ gỗ đều của Hàn Quốc. Chủ nhà tặng lại toàn bộ nội thất. 
Thiết kế:
2 PN + Khách + Bếp + ban công, 2 WC
* Sổ đỏ chính chủ sẵn sàng giao dịch.
Liên hệ để xem nhà trực tiếp.","5,6 tỷ",100 m2,"Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",13228233,_,True,Cần bán,30m,True,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,True,8m,30,True,13m,3,---
https://alonhadat.com.vn/toi-can-ban-toa-ccmn-o-cau-giay-6-tang-20-phong-doanh-thu-1-3-ty-nam-18-8-ty-13228186.html,"CHỦ CẦN BÁN TÒA CCMN Ở CẦU GIẤY, 6 TẦNG, 20 PHÒNG, DOANH THU 1.3 TỶ/ NĂM. 18.8 TỶ","CẦN BÁN TOÀ CHUNG CƯ MINI CHÙA HÀ 90M2 x 6 TẦNG XÂY MỚI THANG MÁY - Ô TÔ ĐỖ CỬA - 20 PHÒNG KHÉP KÍN FULL ĐỒ - DÒNG TIỀN 110 TRIỆU/ THÁNG - ĐƯỜNG TRƯỚC NHÀ SẮP MỞ 5M!
Cầu Giấy 89/95m - 6 tầng - mặt tiền 5m - 18.8 tỷ
- 1 toà căn hộ dịch vụ ô tô với diện tích sổ đỏ 89m2, Mặt tiền: 5m
Thiết kế : 6 tầng, tổng 20 phòng
Mỗi tầng : 4 phòng Studio
Dòng tiền : Tự vận hành 110tr/tháng (1 năm ra hơn 1.3 tỷ). Cho bên thứ 3 thuê tổng cả nhà : 90tr/tháng.
# Ưu điểm :
- Đường trước nhà: 3m, Ô tô su cóc vào tận nhà
- Giao thông: Cách đường ô tô tải 30m, cách mặt đường Cầu Giấy 150m (1 phút đi xe). Cách bãi ô tô 50m, rất thuận tiện cho khách mua toà nhà và cả khách thuê có sở hữu ô tô.
- Vị trí: Đắc địa – Nằm tại vị trí trung tâm Cầu Giấy là quận hót nhất, bán tốt nhất về BĐS Dòng Tiền, gần chợ (50m), gần ga đường sắt trên cao, khu dân cư văn minh, tri thức, khu phân lô, nhiều cây xanh, sang đẹp. Khu vực cực đông đúc nhiều : trường đại học, khu văn phòng.
- Dòng tiền: Cho thuê dễ, được giá, dòng tiền tốt.
- Lãi vốn: Quy hoạch mở rộng đường trước nhà - thành đường ô tô 5m (thông thẳng Nguyễn Văn Huyên, view thoáng). Tiềm năng tăng giá khu vực quanh đường Cầu Giấy còn rất lớn.
- Sổ đỏ vuông vắn, mt to, không lỗi phong thủy, view thoáng đãng.
Liên hệ để xem nhà trực tiếp.","18,8 tỷ",95 m2,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",13228186,_,True,Cần bán,4m,True,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,True,5m,6,True,17m,20,---
https://alonhadat.com.vn/-co-hoi-khong-the-bo-lo-toa-nha-sat-mat-pho-lon-gia-re-kinh-doanh-van-phong-gara-o-13227983.html,"""CƠ HỘI KHÔNG THỂ BỎ LỠ! TOÀ NHÀ SÁT MẶT PHỐ LỚN - GIÁ RẺ - KINH DOANH VĂN PHÒNG - GARA Ô","CƠ HỘI ĐỘC ĐÁO: TOÀ NHÀ 9 TẦNG, GARA Ô TÔ, VỊ TRÍ VÀNG - LÊ ĐỨC THỌ, QUẬN NAM TỪ LIÊM!""
""TOÀ NHÀ SÁT MẶT PHỐ LÊ ĐỨC THỌ - THIẾT KẾ HIỆN ĐẠI - THÍCH HỢP VỪA Ở VỪA LÀM VĂN PHÒNG CÔNG TY!""
🏢 TÒA NHÀ 9 TẦNG SÁT MẶT PHỐ LỚN - KINH DOANH VĂN PHÒNG - GARA Ô TÔ - VỊ TRÍ ĐẮC ĐỊA 🚗
📍 Địa chỉ: Lê Đức Thọ, quận Nam Từ Liêm
💰 Giá bán: 18.4 tỷ
📏 Diện tích: 72/76m2
🏷️ Mặt tiền: 6m
Bạn đang tìm kiếm một cơ hội đầu tư đáng chú ý? Hãy cùng chúng tôi khám phá toà nhà độc đáo này, nằm sát mặt phố Lê Đức Thọ, quận Nam Từ Liêm. Với thiết kế hiện đại và đầy tiềm năng, căn nhà này không chỉ phù hợp để kinh doanh văn phòng mà còn mang đến tiện ích gara ô tô.
🏢 Mô tả chi tiết:
- Vị trí đắc địa: Toà nhà nằm ngay sát mặt phố Lê Đức Thọ, với lối vào thuận tiện cho ô tô 7 chỗ. Chỉ cách đường lớn 5m và rất gần các tiện ích và dịch vụ trong khu vực.
- Thiết kế hiện đại: Với kiến trúc thông minh, toà nhà có không gian thông sàn từ tầng 1 đến 8, và tầng 9 là tum sân phơi. Cầu thang bộ và thang máy được thiết kế về phía cuối nhà, mang lại sự tiện nghi và thoải mái cho cả gia đình và văn phòng công ty.
- Đa năng sử dụng: Với không gian rộng rãi và linh hoạt, căn nhà này phù hợp để kinh doanh văn phòng hoặc kết hợp vừa ở vừa làm văn phòng công ty. Đây là cơ hội tuyệt vời để phát triển và mở rộng doanh nghiệp của bạn.
- Gara ô tô: Đặc điểm nổi bật của căn nhà này là gara ô tô, giúp bạn di chuyển và bảo quản phương tiện một cách thuận tiện.
- Sổ đỏ chính chủ: Căn nhà có sổ đỏ đẹp, vuông vắn, đảm bảo quyền sở hữu và giao dịch nhanh chóng.
📞 Liên hệ ngay số điện thoại  để được xem trực tiếp căn nhà này và nhận thêm thông tin chi tiết. 
 


""TOÀ NHÀ SÁT MẶT PHỐ LÊ ĐỨC THỌ - THIẾT KẾ HIỆN ĐẠI - THÍCH HỢP VỪA Ở VỪA LÀM VĂN PHÒNG CÔNG TY!""

""CƠ HỘI ĐỘC ĐÁO: TOÀ NHÀ 9 TẦNG, GARA Ô TÔ, VỊ TRÍ VÀNG - LÊ ĐỨC THỌ, QUẬN NAM TỪ LIÊM!""

""TOÀ NHÀ 9 TẦNG MẶT TIỀN 6M - KINH DOANH VĂN PHÒNG - ĐẦU TƯ ĐÓN ĐẦU XU HƯỚNG!""

""VỊ TRÍ ĐẮC ĐỊA, TOÀ NHÀ 9 TẦNG - LÊ ĐỨC THỌ, QUẬN NAM TỪ LIÊM - KINH DOANH VÀ Ở ĐỀU TUYỆT VỜI!""","18,4 tỷ",80 m2,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",13227983,_,True,Cần bán,6m,True,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,True,6m,9,True,13m,9,---
https://alonhadat.com.vn/toa-ccmn-tai-trung-van-phung-khoang-8-tang-30-phong-mt-8m-doanh-thu-1-8-ty-nam-13213329.html,"TÒA CCMN TẠI TRUNG VĂN, PHÙNG KHOANG, 8 TẦNG, 30 PHÒNG, MT 8M, DOANH THU 1.8 TỶ/NĂM","CẦN BÁN TOÀ CHUNG CƯ MINI PHÙNG KHOANG 121M2 x 7 TẦNG THANG MÁY - 30 PHÒNG KHÉP KÍN - DÒNG TIỀN 1.8 TỶ / NĂM - SỔ ĐỎ NỞ HẬU - MẶT NGÕ THÊNH THANG 8M - Ô TÔ SU CÓC VÀO NHÀ - PCCC ĐẦY ĐỦ!
Phùng KhoangLương Thế Vinh, Trung Văn121m - 7 tầng - mặt tiền 8m - 18.6 tỷ.
Khách tài chính dưới 20 tỷ muốn tìm toà chung cư mini hội tụ đủ combo: xây mới, thang máy, mặt ngõ nông.. thì có đúng 1 căn duy nhất đáp ứng các loại tiêu chí:
+ Vị trí vàng: khu phân lô giáp làng Việt Kiều Châu Âu Mỗ Lao, thông tứ tung Phùng Khoang Trung Văn Nguyễn Trãi Trần Phú Đỗ Đức Dục Tố Hữu..
Mặt ngõ nông choẹt, ô tô su cóc vào nhà, 7 chỗ đỗ cổng, thuận tiện mọi hướng di chuyển.
+ Diện tích sổ đỏ 121m2 và mặt tiền 8 mét thông số vàng lừng lững, quá lý tưởng cho toà nhà 7 tầng - 30 phòng khép kín, chưa kể điện nước, mạng, phí dịch vụ .. tổng 150 triệu/ tháng.
+ Thang máy nhập xịn chạy vù vù.
Thiết kế
Tầng 1: 1 phòng, để xe
Từ tầng 2 - 6: mỗi tầng 5 phòng
Tầng 7: 4 phòng, 1 phòng sinh hoạt chung uống trà ngắm view phố
+ Phòng cháy chữa cháy đầy đủ, phòng nào cũng có báo cháy như khách sạn 5 sao
+ Nhà mới nên mọi thứ đều mang phong cách hiện đại, đẹp và thoáng mát.
+ Sổ đỏ chính chủ vuông đẹp, sẵn sàng giao dịch.
LH  để xem nhà trực tiếp.
nd3","18,6 tỷ",121 m2,"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",13213329,_,True,Cần bán,5m,True,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,True,8m,8,True,15m,30,---
https://alonhadat.com.vn/toa-ccmn-tai-trung-hoa-cau-giay-8-tang-29-phong-mt-9-3m-doanh-thu-200tr-thang-13212726.html,"TÒA CCMN TẠI TRUNG HÒA CẦU GIẤY, 8 TẦNG, 29 PHÒNG, MT 9.3M, DOANH THU 200TR/THÁNG","BÁN TÒA CCCM - TRUNG TÂM QUẬN CẦU GIẤY - THÔNG SỐ VÀNG - SỔ VUÔNG ĐẸP - DOANH THU 200 TRIỆU/ THÁNG. 
Nguyễn Ngọc Vũ - Trung Hòa - Cầu Giấy 120M - 8 TẦNG - MT 9.3M - 28 tỷ 
Mô tả:
+ Vị trí nhà rất đẹp, vừa hoàn thiện xong mới long lanh.
+ xây dựng 8 tầng với tổng 29 phòng (21 phòng 1PN, 1PK; 8p đơn)
- Các phòng đều full nội thất: Tủ bếp, hút mùi, bếp từ âm, điều hoà, nóng lạnh, giường, đệm, rèm, sô fa, bàn trà, tủ giày, bàn làm việc. 
- Khoá cửa mỗi phòng đều dùng khoá vân tay. 
- Toà nhà có hệ thống Phòng cháy chữa cháy đầy đủ: báo khói và spinner mỗi phòng, máy bơm chữa cháy và tủ điều khiển ở tầng 1. Tủ phòng cháy và bình mỗi tầng.
- Hệ thống điện nước: toàn bộ điện đều được chạy ống gen, công tơ điện nước tại hành lang mỗi tầng
- Hiện đã nhận cọc cho thuê lại với giá 160tr/tháng - tự vận hành doanh thu 200 triệu/ tháng.
Sổ đỏ vuông vắn, sẵn sàng giao dịch.
LH  để xem nhà trực tiếp.",28 tỷ,120 m2,"Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",13212726,_,True,Cần bán,"4,5m",True,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,True,9m,8,True,14m,29,---
https://alonhadat.com.vn/ban-toa-ccmn-le-duc-tho-o-to-do-cong-60m-9-tang-23p-dt-100tr-th-11-68-ty--13209467.html,"BÁN TÒA CCMN LÊ ĐỨC THỌ, Ô TÔ ĐỖ CỔNG, 60M, 9 TẦNG, 23P, DT 100TR/TH, 11.68 TỶ.","TÔI CẦN BÁN TOÀ CHUNG CƯ MINI MẶT NGÕ Ô TÔ LÊ ĐỨC THỌ 58M2 x 9 TẦNG XÂY MỚI THANG MÁY - 23 PHÒNG KHÉP KÍN FULL ĐỒ - DÒNG TIỀN 100 TRIỆU/ THÁNG - Ô TÔ ĐỖ CỬA - VÀI BƯỚC RA MẶT PHỐ!
Lê Đức Thọ 58M - 9 tầng - mặt tiền 4m - 11.68 tỷ 
* Mô tả căn 9 tầng:
+ Diện tích sổ đỏ 58m2 và mặt tiền đỉnh chóp 4m, quá lý tưởng cho toà nhà 9 tầng cao vút xây mới tinh, thang máy nhập xịn - 23 phòng khép kín, dòng tiền 100 triệu/ tháng toàn lô tô số siêu đẹp.
Dòng tiền 10 năm là gấp đôi tài sản chưa kể đất Mỹ Đình tăng lãi vốn ầm ầm, gà đẻ trứng vàng chưa bao giờ vượng đến vậy.
+ Vị trí vàng trung tâm Mỹ Đình: giao cắt Lê Đức Thọ, Phú Mỹ, Thiên Hiền, Nguyễn Cơ Thạch, Nguyễn Hoàng.
Khu vực mỏ vàng trong làng cho thuê, tập trung nhiều văn phòng đẳng cấp, các trường đại học danh giá.
MẶT NGÕ RỘNG SÁT PHỐ, Ô TÔ ĐỖ CỬA!
+ Sổ đỏ chính chủ phân lô, sẵn sàng giao dịch.
Liên hệ để xem nhà trực tiếp.","11,68 tỷ",60 m2,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",13209467,_,True,Cần bán,"3,5m",True,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,True,4m,9,True,15m,23,---
