url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,Thuộc dự án
https://alonhadat.com.vn/ban-nha-mat-pho-van-cao-26m2-5-7-ty-13469801.html,"Bán nhà mặt phố Văn cao, 26m2, 5.7 tỷ","Bán nhà mặt phố Văn cao, 26m2, 5.7 tỷ
Nhà nằm trung tâm quận Ba Đình, vỉa hè rộng thênh thang.
Chủ nhà mới trang trí lại theo phong cách châu âu, đẹp long lanh. 
Nhà thiết kế 5 tầng, 3 phòng ngủ, wc 4 cái, toàn thiết bị xịn bền vô đối. 
Sổ đỏ cất két chờ giao dịch.
Giá chào: 5,7 tỷ.","5,7 tỷ",26 m2,"Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",13469801,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,5,---,---,3,---,
https://alonhadat.com.vn/mat-pho-tran-quoc-vuong-cau-giay-50mx7t-thang-may-mt-5m-18-ty-13469775.html,"MẶT PHỐ TRẦN QUỐC VƯỢNG CẦU GIẤY 50mx7T THANG MÁY, MT 5m, 18 tỷ","MẶT PHỐ KINH DOANH NGÀY ĐÊM - MẶT TIỀN UY TÍN - 7 TẦNG THANG MÁY- MỘT MẶT PHỐ 1 MẶT NGÕ THÔNG- TÒA NHÀ VĂN PHÒNG SIÊU ĐỈNH CAO.
-  Tọa lạc trung tâm quận Cầu Giấy, Phố Trần Quốc Vượng nằm vị trí Đắc Địa , trung tâm của các trường đại học lớn trên địa bàn như ĐH Sư Phạm Hà Nội  ĐH Quốc Gia, HV Báo Chí , CĐ Du Lịch, ĐH Thương Mại,...vô cùng nhộn nhịp và sôi động.
- Phố Trần Quốc Vượng mới quy hoạch điểm đầu từ chân cầu Mai Dịch chạy thẳng ra Xuân Thủy,  cách bến xe Mỹ Đình vài phút đi xe, sát ngay phố Duy Tân Nơi tập chung quá nhiều văn phòng, công ty, nên buôn bán vô cùng nhộn nhịp, hiếm thấy nhà bán.
- Nhà có mặt tiền quá lý tưởng: 5M. Một mặt phố, một mặt ngõ thông, rất thích hợp vừa kinh doanh vừa ở.
- sổ đỏ chính chủ",18 tỷ,50 m2,"Phố Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",13469775,_,---,Cần bán,12m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,7,True,---,4,---,
https://alonhadat.com.vn/ban-toa-ccmn-nguyen-lan-thanh-xuan-oto-80m2-6m-mt-7t-17pn-12ty-dthu-100tr-thang--10651611.html,"Bán tòa CCMN Nguyễn Lân, Thanh Xuân, oto, 80m2, 6m MT, 7T, 17PN, 12ty, Dthu 100tr/tháng.","- Tập trung nhiều sinh viên và NVVP.
- Nhà 8 tầng với 24 phòng, thang máy, đang cho thuê, mặt tiền rộng rãi, thoáng mát.
- Nằm ngay cạnh các trục đường lớn của trung tâm quận Thanh xuân. Tỏa đi các hướng.
- Hẻm ba gác rộng rãi, cư dân thân thiện, dân trí cao.
- Dòng tiền hơn 1ty/năm.
- Chủ thiện chí bán, giá còn thương lượng.
- Sổ đỏ chính chủ sẵn sàng giao dịch. 
- Liên hệ: em Lên - chuyên BĐS dòng tiền toàn HN để biết thêm chi tiết và mua nhà ưng ý sinh lời cao. Ngoài ra, em còn nhiều tòa CCMN khác đang chờ khách đến sang tên:
- Lê trọng tấn, TX, 80m2x9,8m mặt tiền, 8 tầng, thang máy, 20 phòng, 19,5 tỷ, sổ vuông.
- Chính kinh, TX, 61m2x5,3m mặt tiền, 9 tầng, thang máy, 21 phòng, sổ vuông, 13,5 tỷ. 
- Khương đình, TX: 63m2x4m mặt tiền, 7 tầng 17 phòng, thang máy, 9,5 tỷ, sổ vuông
- Khương trung, TX: 65m2x7m mặt tiền, 7 tầng, thang máy,  17 phòng, 10,5 tỷ, sổ vuông.",12 tỷ,80 m2,"Đường Nguyễn Lân, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",10651611,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,6m,7,---,---,17,---,
https://alonhadat.com.vn/ban-gap-ccmn-vu-trong-phung-thanh-xuan-96m2-8-tang-25pn-13-5ty--10651881.html,"Bán gấp CCMN Vũ Trọng Phụng, Thanh Xuân, 96m2, 8 tầng, 25PN, 13,5ty.","- Nằm ngay cạnh các trục đường lớn của trung tâm quận Thanh xuân. Tỏa đi các hướng.
- Tập trung nhiều sinh viên và NVVP.
- Nhà 8 tầng với 25 phòng, thang máy, đang cho thuê, mặt tiền rộng rãi, thoáng mát.
- Hẻm ba gác rộng rãi, cư dân thân thiện, dân trí cao.
- Dòng tiền hơn 1ty/năm.
- Chủ thiện chí bán, giá còn thương lượng.
- Sổ đỏ chính chủ sẵn sàng giao dịch. 
- Liên hệ: em Lên - chuyên BĐS dòng tiền toàn HN để biết thêm chi tiết và mua nhà ưng ý sinh lời cao. Ngoài ra, em còn nhiều tòa CCMN khác đang chờ khách đến sang tên:
- Lê trọng tấn, TX, 80m2x9,8m mặt tiền, 8 tầng, thang máy, 20 phòng, 19,5 tỷ, sổ vuông.
- Chính kinh, TX, 61m2x5,3m mặt tiền, 9 tầng, thang máy, 21 phòng, sổ vuông, 13,5 tỷ. 
- Khương đình, TX: 63m2x4m mặt tiền, 7 tầng 17 phòng, thang máy, 9,5 tỷ, sổ vuông
- Khương trung, TX: 65m2x7m mặt tiền, 7 tầng, thang máy,  17 phòng, 10,5 tỷ, sổ vuông.","13,5 tỷ",96 m2,"Đường Vũ Trọng Phụng, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",10651881,_,---,Cần bán,3m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,8,---,---,25,---,
https://alonhadat.com.vn/chi-5-45ty-o-to-mat-ngo-to-pho-bui-xuong-trach-tx-48-4m2-nha-4-tang--8951517.html,Chỉ 5.45tỷ - Ô TÔ – Mặt ngõ to Phố Bùi Xương Trạch TX; 48.4m2; nhà 4 tầng!,"+ Nhà dân xây để ở; mới từ năm 2018; chỉ vài thùng sơn là đẹp long lanh.
+ Nhà ở mặt ngõ to đẹp nhất phố Bùi Xương Trạch; ngõ trước nhà rộng thoáng; Ô tô tránh nhau thoải mái; ngõ thông 2 phố Bùi Xương Trạch và Vũ Tông Phan.
+ Tầng 1 đang làm Gara OTO; có thể chuyển thành mặt bằng kinh doanh rất ok; khu vực đông dân cư, kinh doanh tốt đủ loại mặt hàng.
+ Sổ đỏ vuông đẹp; diện tích 48.4m2, 4 tầng; Gara OTO tầng 1, tổng 4 phòng ngủ rộng rãi. 
+ Nhà thuộc khu phân lô cán bộ, dân trí cao.
+ Trường học các cấp đều rất gần nhà; tiện ích ngập tràn không thiếu thứ gì. 
A/c quan tâm vui lòng liên hệ với Anh Long (Xin Phép miễn trung gian","5,45 tỷ",49 m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",8951517,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---,
https://alonhadat.com.vn/cuc-hiem-ban-nha-cu-chinh-lan-thanh-xuan-52m2-4-tang-chi-4ty5--6121367.html,"Cực Hiếm! Bán nhà Cù Chính Lan - Thanh Xuân 52m2, 4 tầng chỉ 4tỷ5!","Cực Hiếm! Bán nhà Cù Chính Lan 52m2, 4 tầng chỉ 4tỷ5! 
- Gia đình làm trong quân đội chuyển công tác cần bán gấp. Có gia lộc mạnh cho khách thiện trí.
- Nội thất toàn đồ gỗ, thiết bị hiện đại, nhà 4 tầng; tổng 4 phòng ngủ tầng 2+3; tầng 1 phòng khách + bếp, tầng 4 phòng thờ + sân phơi. Diện tích trên sổ 52m2, diện tích từ tầng 2 là 54m2.
- Nhà 2 mặt thoáng vĩnh viễn trước sau, mở rất nhiều cửa sổ hút gió tự nhiên. Không gian thoáng đãng, sạch sẽ, yên tĩnh;  hàng xóm dân trí cao.
- Các tiện ích xung quanh nhà không thiếu thứ gì; nhà ở mặt ngõ, rộng thoáng; ngõ thông nhiều hướng từ đường Cù Chính Lan, Vương Thừa Vũ, Hoàng Văn Thái vào nhà. Từ nhà ra mặt đường Cù Chính Lan chỉ 30m.
- Nhà ở vị trí trung tâm cực hiếm. Từ nhà gần kết nối các trục đường lớn như Trường Chinh, Lê Trọng Tấn, Láng, Nguyễn Trãi rất thuận lợi.
  A/c quan tâm xin liên hệ Anh Long (Xin Phép miễn trung gian).","4,5 tỷ",52 m2,"Phố Cù Chính Lan, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",6121367,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---,
https://alonhadat.com.vn/ban-nha-hoang-mai-31m-4-tang-mat-tien-4-met-gia-3-2-ty-ra-loc-manh-13469573.html,BÁN NHÀ HOÀNG MAI  31M 4 tầng MẶT TIỀN 4 MÉT - GIÁ 3.2 TỶ RA LỘC MẠNH,"- Vị trí đắc địa: ngõ nông, trung tâm, ô tô tránh cách 50 mét, chợ dân sinh cách 50 mét. Quang quanh đầy đủ tiện ích. 
- Chủ nhà xây dựng cẩn thận chắc chắn hợp lý để ở.
- Sổ đỏ chính chủ, pháp lý chuẩn giao dịch trong ngày
(Hình ảnh nhà thật 100%)","3,2 tỷ",31 m2,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",13469573,_,---,Cần bán,6m,---,Nhà trong hẻm,---,---,---,4,---,---,4,---,
https://alonhadat.com.vn/ban-dat-long-bien-o-to-do-cua-vao-nha-50m2-chi-2-5-ty-13469903.html,"Bán đất Long Biên, ô tô đỗ cửa vào nhà 50m2 chỉ 2.5 tỷ","Gia đình có việc cần bán gấp mảnh đất Long Biên, 50m2 vuông như bao diêm.
Ô tô 4 chỗ vào tận nhà.
Khu vực dân cư văn minh, tiện ích đầy đủ, đông ấm hè mát.
Nhà có dự án đường sắp mở rộng qua gần đó nhưng cần dồn tiền sản xuất nên đành bán đi trong tiếc nuối.
Xem đất liên hệ em Linh","2,5 tỷ",50 m2,"Đường Thống Nhất, Phường Cự Khối, Quận Long Biên, Hà Nội",13469903,_,---,Cần bán,"3,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,13m,---,---,
https://alonhadat.com.vn/ban-nha-tran-quy-kien-cau-giay-phan-lo-via-he-kinh-doanh-4-tang-dien-tich-60m2-16-ty-13469832.html,"Bán nhà Trần Quý Kiên, Cầu Giấy, Phân Lô – Vỉa hè Kinh doanh 4 tầng diện tích 60m2 16 tỷ","Bán nhà Trần Quý Kiên, Cầu Giấy, Phân Lô – Vỉa hè Kinh doanh 4 tầng diện tích 60m2 giá 16 tỷ
Gia đình chị Trang chuyển chỗ ở mới cần bán nhà đường Trần Quý Kiên, phường Dịch Vọng, quận Cầu Giấy.
-Khu phân lô cho cán bộ vị trí rất phù hợp để: Ở hoặc làm Văn phòng, khu vực hội tụ nhiều quán Café, nhà hàng xung quanh nhiều tòa nhà công ty văn phòng.
-Khu phân lô bàn cờ thông có thể mở quán Café, nail… làm Văn phòng….
- Diện tích 60m2 nhà xây 4 tầng KCBT nếu gia chủ muốn cải tạo sửa chữa rất dễ dàng.
-Giao thông thuận tiện liên thông nhiều tuyến phố chính như: đường Cầu giấy, phố Trương Công giai, phố Trần Thái Tông
- Tiện ích vô vàn gần ngay công viên Cầu Giấy, bến xe mỹ đình đi các tỉnh thuận tện, vài phút ra đường Hoàng Quốc Việt đường Nguyễn Văn Huyên đi sân bay nội bài…
- Sổ đỏ chính chủ.
- Gia chủ rất thiện chí bán, giá chào bán 16 tỷ (thương lượng trực tiếp)
Liên hệ: Hoàng Nga  miễn trung gian.",16 tỷ,60 m2,"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",13469832,_,---,Cần bán,15m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---,
https://alonhadat.com.vn/chinh-chu-ban-nha-xay-5-t-lo-goc-pho-ho-den-lu-hoang-mai-dt-45-m-mt-13-5-13469877.html,"Chính chủ bán nhà xây 5 t lô góc phố hồ đền lừ , hoàng mai , dt 45 m, mt 13.5","Nhà nằm ở vị trí đẹp, view vườn hoa và sân sinh hoạt cộng đồng. Khu vực kinh doanh sầm uất và nhiều tiện ích.
👉 Lô góc, khu phân lô ôtô tránh, có vỉa hè, ôtô 7 chỗ vào nhà.
👉 Nhà chủ tự xây tâm huyết, thiết kế hợp lý, 2 ban công thoáng sáng.
+ Tầng 1: Kinh doanh, gara ôtô, wc.
+ Tầng lửng: 1 phòng
+ Tầng 2,3,4: Mỗi tầng 2 phòng + 1wc.
+ Tầng 5: 1 phòng + 2 sân phơi.",13 tỷ,45 m2,"Đường  Hồ Đền Lừ, Phường Mai Động, Quận Hoàng Mai, Hà Nội",13469877,_,True,Cần bán,6m,True,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,True,5m,5,True,"13,5m",8,---,
https://alonhadat.com.vn/hiem-le-thanh-nghi-dan-xay-lo-goc-mat-ngo-noi-that-xin-50m2-4-85-ty-13469738.html,HIẾM_LÊ THANH NGHỊ_DÂN XÂY_LÔ GÓC_MẶT NGÕ_NỘI THẤT XỊN_50M2_4.85 TỶ,"HIẾM_LÊ THANH NGHỊ_DÂN XÂY_LÔ GÓC_MẶT NGÕ_NỘI THẤT XỊN_50M2_4.85 TỶ
CHIẾM_LÊhủ chuyển công tác nên cần bán gấp căn nhà ở phố Lê Thanh Nghị.
Diện tích 50m2 x 4 tầng, mặt tiền 4.1m. Sổ nở hậu đẹp.
Nhà dân xây để ở nên cực kỳ chắc chắn, khung cột bê tông cốt thép, chủ nhà tâm huyết lựa chọn từng viên gạch. Nội thất sang trọng, đắt tiền, toàn đồ gỗ lim xịn. Chủ ở giữ gìn nên nhà còn như mới, khách chỉ việc xách vali về ở ngay.
Nhà lô góc 2 mặt thoáng, phòng nào cũng có cửa sổ đón ánh sáng tự nhiên. Thiết kế mỗi tầng 1 phòng ngủ khép kín, ban công siêu rộng.
- Tầng 1: Phòng khách + Bếp + WC
- Tầng 2, 3: Phòng ngủ + WC.
- Tầng 4: Phòng thờ + sân phơi.
Nhà nằm ở vị trí đắc địa, mặt ngõ nông, rộng, thoáng, từ nhà ra mặt phố chỉ 100m. Phố Lê Thanh Nghị cực kỳ hiếm nhà bán. 
Xung quanh nhà đầy đủ tiện ích, không thiếu thứ gì. Gần chợ, siêu thị, trường học các cấp..., hàng xóm khu Bách - Kinh - Xây, vài bước ra Công viên Tuổi Trẻ, Bệnh viện Thanh Nhàn.
Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.
Giá chỉ 4.85 tỷ (có thương lượng).
Liên hệ xem nhà miễn phí: Em Tú Anh","4,85 tỷ",50 m2,"Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",13469738,_,True,Cần bán,"2,5m",True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,"4,1m",4,---,"12,2m",3,---,
https://alonhadat.com.vn/chu-ngop-bank-ban-gap-biet-thu-van-quan-220m2-4-tang-mat-tien-11m-gia-31-8-ty-13184096.html,"Chủ Ngộp Bank, Bán gấp biệt thự Văn Quán, 220m2, 4 tầng, mặt tiền 11m, giá 28 tỷ","Biệt thự đẳng cấp trung tâm Hà Đông- vị trí vàng:
 - Tiện ích xung quanh là những Trung tâm Ngân hàng, tài chính và kinh doanh thương mại, Big C Hà Đông…
 - Toàn bộ các hệ thống Ngân hàng, nhà hàng, café thương hiệu tại Việt Nam và quốc tế Quận Hà Đông. Hệ thống hạ tầng đầy đủ và phát triển bậc nhất tại Hà Nội.

 Diện tích khủng 220m uy nghi, tráng lệ.
 - Biệt thự chủ tâm huyết xây dựng, với thiết kế 4 tầng nội thất đẳng cấp, sang trọng.
 - 4 tầng, gồm 3 PN lớn + wc khép kín, PK và bếp cực kỳ rộng rãi, phòng đồ chơi cho trẻ em vô cùng xinh xắn. Sân thượng trồng nhiều loại cây cảnh mát mẻ quanh năm. Chủ set up thêm phòng tập gym + bồn tắm Jacuzzi cực kỳ tỉ mỉ, phòng giặt phơi quần áo, phòng thờ, giếng trời rộng thoáng.
 - Nhà thiết kế nội thất hiện đại cao cấp. Hai lớp cổng tự động đóng mở và cửa cuốn an ninh, cửa toàn là gỗ xịn, tủ bếp gỗ cao cấp, sàn các phòng đều lót gỗ toàn bộ.

 - Sổ hồng chính chủ, công chứng nhanh.

 - Giá: 28 tỷ.
 - Liên hệ: – Hoàng Công hỗ trợ tư vấn hoàn toàn miễn phí.",28 tỷ,220 m2,"Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",13184096,_,---,Cần bán,12m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,---,4,---,---,3,---,Khu đô thị mới Văn Quán (xem chi tiết dự án)
https://alonhadat.com.vn/ban-nha-pho-le-van-thiem-trung-tam-thanh-xuan-13469458.html,Bán nhà phố Lê văn thiêm trung tâm thanh xuân,"**Bán Nhà Phố Lê Văn Thiêm: Hai Thoáng, Giao Thông Thuận Tiện, Diện Tích 51m², Xây Dựng 5 Tầng, Mặt Tiền 4m**


- Địa chỉ: Nhà phố Lê Văn Thiêm.
- Diện tích: 51m², mặt tiền rộng 4m.
- Xây dựng: Nhà được xây dựng 5 tầng, thiết kế hiện đại và tối ưu hóa không gian sử dụng. Mỗi tầng đều có cấu trúc hợp lý và đầy đủ tiện nghi.
- Hai thoáng: Căn nhà được thiết kế với hai mặt thoáng, cho phép ánh sáng tự nhiên và không khí thông thoáng lan tỏa trong từng không gian sống.

Vị trí của căn nhà rất thuận lợi, đảm bảo tiện ích và giao thông thuận tiện

- Giao thông: Nhà nằm trong khu vực có mạng lưới giao thông phát triển, điểm kết nối dễ dàng với các tuyến đường chính như Lê Văn Lương, Trần Duy Hưng và Nguyễn Chánh.
- Tiện ích xung quanh: Xung quanh nhà có nhiều tiện ích như trường học, bệnh viện, siêu thị, nhà hàng, cửa hàng tiện lợi và các khu vui chơi giải trí.
- An ninh: Khu vực được bảo vệ 24/7, đảm bảo an ninh tuyệt đối.","13,2 tỷ",51 m2,"Đường Lê Văn Thiêm, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",13469458,_,---,Cần bán,5m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,5,---,---,6,---,
https://alonhadat.com.vn/tuyet-voi-cho-thue-hiem-mat-pho-nguyen-chi-thanh-dong-da-33-m2-gia-14-ty--6994918.html,"Tuyệt vời cho thuê ! Hiếm! mặt phố Nguyễn Chí Thanh, Đống Đa 33 m2 giá 14 tỷ.","- Nằm đoạn gần cuối phố Nguyễn Chí Thanh, tuyến đường được bình chọn đẹp nhất thủ đô, vỉa hè rộng 5m, buôn bán sầm uất, mở cửa là có tiền.
- Nhà chủ tự xây 4 tầng rất chắc chắn trên diện tích 33 m2 (từ tầng 2 đua rộng thành 40 m2), mặt tiền rộng 5.2m.
- Thiết kế các tầng thông sàn, nhà vệ sinh nằm ở tầng 2,3,4.
- Tầng 1,2 là nơi trưng bày hàng và bán hàng (đang cho khách thuê cả nhà 30 triệu/tháng, 6 tháng thanh toán 1 lần, hợp đồng 5 năm).
- Tầng 3,4 là nơi sinh hoạt của gia đình, có 2 phòng ngủ, bếp ăn.
- Sổ đỏ chính chủ, pháp lý rõ ràng, có đủ cả hoàn công, đất lành đẹp, giá đẹp 14 tỷ (có bớt cho khách thiện chí)",14 tỷ,33 m2,"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",6994918,_,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,2m",4,---,---,2,---,
https://alonhadat.com.vn/duy-nhat-tai-la-casta-van-phu-gia-12-xty-sieu-kinh-doanh-13469592.html,DUY NHẤT TẠI LA CASTA VĂN PHÚ - GIÁ 12 .XTỶ - SIÊU KINH DOANH,"- La casta Văn Phú - khu đô thị hiện đại điểm nhấn trong lòng KĐT Văn Phú, xây dựng theo lối kiến trúc nhà phố hiện đại, tiện ích ngập tràn, 2 thoáng vừa ở vừa kinh doanh đỉnh. Khu vực nhà nhà kinh doanh hoặc cho thuê kinh doanh
- Chỉ duy nhất 1 căn bán với giá siêu rẻ. Không còn căn thứ 2 để có thể so sánh.
- 73m2 4 tầng 5,5m mặt tiền giá chỉ 12,5 tỷ.
- Liên hệ ngay để để làm chủ siêu phẩm này","12,5 tỷ",73 m2,"Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",13469592,_,True,Cần bán,24m,True,"Biệt thự, nhà liền kề",---,True,"5,5m",4,True,---,6,---,Khu biệt thự La Casta HiBrand (xem chi tiết dự án)
